corporateKey,firstName,lastName,email,phone,role,ouName
CK0001,James,Smith,emp0001@globalenterprise.com,+15550000001,MANAGER,Global Enterprise
CK0002,Mary,Brown,emp0002@globalenterprise.com,+15550000002,MANAGER,Engineering Division
CK0003,Robert,Miller,emp0003@globalenterprise.com,+15550000003,MANAGER,Product Division
CK0004,Patricia,Martinez,emp0004@globalenterprise.com,+15550000004,MANAGER,Sales Division
CK0005,John,Gonzalez,emp0005@globalenterprise.com,+15550000005,MANAGER,Marketing Division
CK0006,Jennifer,Thomas,emp0006@globalenterprise.com,+15550000006,MANAGER,Finance Division
CK0007,Michael,Jackson,emp0007@globalenterprise.com,+15550000007,MANAGER,Operations Division
CK0008,Linda,Perez,emp0008@globalenterprise.com,+15550000008,MANAGER,Human Resources Division
CK0009,David,Harris,emp0009@globalenterprise.com,+15550000009,MANAGER,Engineering Platform Dept
CK0010,Elizabeth,Ramirez,emp0010@globalenterprise.com,+15550000010,MANAGER,Engineering Solutions Dept
CK0011,William,Walker,emp0011@globalenterprise.com,+15550000011,MANAGER,Engineering Services Dept
CK0012,Barbara,King,emp0012@globalenterprise.com,+15550000012,MANAGER,Product Platform Dept
CK0013,Richard,Torres,emp0013@globalenterprise.com,+15550000013,MANAGER,Product Solutions Dept
CK0014,Susan,Flores,emp0014@globalenterprise.com,+15550000014,MANAGER,Product Services Dept
CK0015,Joseph,Nelson,emp0015@globalenterprise.com,+15550000015,MANAGER,Sales Platform Dept
CK0016,Jessica,Rivera,emp0016@globalenterprise.com,+15550000016,MANAGER,Sales Solutions Dept
CK0017,Thomas,Carter,emp0017@globalenterprise.com,+15550000017,MANAGER,Sales Services Dept
CK0018,Sarah,Phillips,emp0018@globalenterprise.com,+15550000018,MANAGER,Marketing Platform Dept
CK0019,Charles,Diaz,emp0019@globalenterprise.com,+15550000019,MANAGER,Marketing Solutions Dept
CK0020,Karen,Edwards,emp0020@globalenterprise.com,+15550000020,MANAGER,Marketing Services Dept
CK0021,Christopher,Stewart,emp0021@globalenterprise.com,+15550000021,MANAGER,Finance Platform Dept
CK0022,Lisa,Murphy,emp0022@globalenterprise.com,+15550000022,MANAGER,Finance Solutions Dept
CK0023,Daniel,Gutierrez,emp0023@globalenterprise.com,+15550000023,MANAGER,Finance Services Dept
CK0024,Nancy,Cooper,emp0024@globalenterprise.com,+15550000024,MANAGER,Operations Platform Dept
CK0025,Matthew,Reed,emp0025@globalenterprise.com,+15550000025,MANAGER,Operations Solutions Dept
CK0026,Betty,Ramos,emp0026@globalenterprise.com,+15550000026,MANAGER,Operations Services Dept
CK0027,Anthony,Ward,emp0027@globalenterprise.com,+15550000027,MANAGER,Human Resources Platform Dept
CK0028,Margaret,Brooks,emp0028@globalenterprise.com,+15550000028,MANAGER,Human Resources Solutions Dept
CK0029,Mark,James,emp0029@globalenterprise.com,+15550000029,MANAGER,Human Resources Services Dept
CK0030,Sandra,Mendoza,emp0030@globalenterprise.com,+15550000030,MANAGER,Engineering Platform Team
CK0031,Donald,Price,emp0031@globalenterprise.com,+15550000031,MANAGER,Engineering Solutions Team
CK0032,Ashley,Sanders,emp0032@globalenterprise.com,+15550000032,MANAGER,Engineering Services Team
CK0033,Steven,Long,emp0033@globalenterprise.com,+15550000033,MANAGER,Product Platform Team
CK0034,Kimberly,Jimenez,emp0034@globalenterprise.com,+15550000034,MANAGER,Product Solutions Team
CK0035,Paul,Williams,emp0035@globalenterprise.com,+15550000035,MANAGER,Product Services Team
CK0036,Emily,Garcia,emp0036@globalenterprise.com,+15550000036,MANAGER,Sales Platform Team
CK0037,Andrew,Rodriguez,emp0037@globalenterprise.com,+15550000037,MANAGER,Sales Solutions Team
CK0038,Donna,Lopez,emp0038@globalenterprise.com,+15550000038,MANAGER,Sales Services Team
CK0039,Joshua,Anderson,emp0039@globalenterprise.com,+15550000039,MANAGER,Marketing Platform Team
CK0040,Michelle,Moore,emp0040@globalenterprise.com,+15550000040,MANAGER,Marketing Solutions Team
CK0041,Kenneth,Lee,emp0041@globalenterprise.com,+15550000041,MANAGER,Marketing Services Team
CK0042,Carol,White,emp0042@globalenterprise.com,+15550000042,MANAGER,Finance Platform Team
CK0043,Kevin,Clark,emp0043@globalenterprise.com,+15550000043,MANAGER,Finance Solutions Team
CK0044,Amanda,Robinson,emp0044@globalenterprise.com,+15550000044,MANAGER,Finance Services Team
CK0045,Brian,Allen,emp0045@globalenterprise.com,+15550000045,MANAGER,Operations Platform Team
CK0046,Dorothy,Scott,emp0046@globalenterprise.com,+15550000046,MANAGER,Operations Solutions Team
CK0047,George,Hill,emp0047@globalenterprise.com,+15550000047,MANAGER,Operations Services Team
CK0048,Melissa,Adams,emp0048@globalenterprise.com,+15550000048,MANAGER,Human Resources Platform Team
CK0049,Timothy,Hall,emp0049@globalenterprise.com,+15550000049,MANAGER,Human Resources Solutions Team
CK0050,Deborah,Mitchell,emp0050@globalenterprise.com,+15550000050,MANAGER,Human Resources Services Team
CK0051,Ronald,Gomez,emp0051@globalenterprise.com,+15550000051,EMPLOYEE,Global Enterprise
CK0052,Stephanie,Turner,emp0052@globalenterprise.com,+15550000052,TRAINER,Engineering Division
CK0053,Edward,Cruz,emp0053@globalenterprise.com,+15550000053,MANAGER,Product Division
CK0054,Rebecca,Reyes,emp0054@globalenterprise.com,+15550000054,EMPLOYEE,Sales Division
CK0055,Jason,Morales,emp0055@globalenterprise.com,+15550000055,EMPLOYEE,Marketing Division
CK0056,Sharon,Rogers,emp0056@globalenterprise.com,+15550000056,EMPLOYEE,Finance Division
